language,configuration,model,dependency,layer,head,uas_score,architecture,is_multilingual,rank,best_score,relative_score
ca,bidirectional_relations_False+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,acl,8,31,0.11950791,decoder,True,1.0,0.11950791,1.0
ca,bidirectional_relations_False+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,acl,8,31,0.11950791,decoder,True,1.0,0.11950791,1.0
ca,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,acl,8,31,0.11950791,decoder,True,1.0,0.11950791,1.0
ca,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,acl,8,31,0.11950791,decoder,True,1.0,0.11950791,1.0
es,bidirectional_relations_False+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,acl,8,31,0.062283736,decoder,True,3.0,0.06401384,0.972972969595325
es,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,acl,8,31,0.062283736,decoder,True,3.0,0.06401384,0.972972969595325
ca,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.32150313,decoder,True,1.0,0.32150313,1.0
ca,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.18789144,decoder,True,3.0,0.32150313,0.5844155856274245
en,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.4566929,decoder,True,1.0,0.4566929,1.0
en,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.44544432,decoder,True,2.0,0.4566929,0.9753694878987609
es,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.26361278,decoder,True,1.0,0.26361278,1.0
es,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.17113224,decoder,True,3.0,0.26361278,0.6491803621964003
eu,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.36204576,decoder,True,1.0,0.36204576,1.0
fr,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.5434272,decoder,True,1.0,0.5434272,1.0
fr,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.3931925,decoder,True,3.0,0.5434272,0.7235421782347295
gl,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.2262017,decoder,True,1.0,0.2262017,1.0
gl,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.1460886,decoder,True,3.0,0.2262017,0.6458333425434026
pt,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.45833334,decoder,True,1.0,0.45833334,1.0
pt,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.31666666,decoder,True,3.0,0.45833334,0.6909090663140499
tr,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.13076924,decoder,True,1.0,0.13076924,1.0
tr,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,advmod,0,2,0.1,decoder,True,3.0,0.13076924,0.7647058283737063
ca,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,31,14,0.2954071,decoder,True,2.0,0.32150313,0.918831179030823
es,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,31,14,0.2454624,decoder,True,2.0,0.26361278,0.9311475718286496
eu,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,31,14,0.27994618,decoder,True,2.0,0.36204576,0.7732342453064497
fr,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,31,14,0.45774648,decoder,True,2.0,0.5434272,0.8423326620382638
gl,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,31,14,0.19604146,decoder,True,2.0,0.2262017,0.8666666077222231
pt,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,31,14,0.39583334,decoder,True,2.0,0.45833334,0.8636363656198347
tr,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,advmod,31,14,0.12115385,decoder,True,2.0,0.13076924,0.9264705522491373
ca,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,amod,0,2,0.5207497,decoder,True,1.0,0.5207497,1.0
ca,bidirectional_relations_False+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,amod,0,2,0.37617135,decoder,True,3.0,0.5207497,0.7223649864800691
en,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,amod,0,2,0.6749482,decoder,True,1.0,0.6749482,1.0
en,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_False+soft_scores_False,Llama-3.1-8B,amod,0,2,0.6532091,decoder,True,2.0,0.6749482,0.9677914542182644
es,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,amod,0,2,0.38485608,decoder,True,1.0,0.38485608,1.0
eu,bidirectional_relations_True+group_relations_by_family_False+remove_self_attention_True+soft_scores_False,Llama-3.1-8B,amod,0,2,0.94716984,decoder,True,1.0,0.94716984,1.0
