,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,88,15,828,92,797,47,50,31,90,44,504,146,308,42,106,377,38,30,9,46,76,224,62,35
layer_1,755,155,104,5,154,18,108,46,657,75,5,671,757,396,580,329,22,832,31,25,353,20,40,500
layer_2,58,549,10,82,71,0,186,0,0,25,5,8,108,620,6,1,2,3,13,220,32,11,96,6
layer_3,2,84,22,186,5,141,19,548,252,75,159,401,0,236,0,113,46,27,0,7,26,5,0,83
layer_4,0,32,1,452,68,501,14,84,73,128,0,32,0,2,113,1,236,0,217,158,655,218,36,50
layer_5,8,532,188,12,189,359,73,127,70,4,1,37,10,19,10,0,716,64,138,4,0,28,547,151
layer_6,665,191,32,313,8,1,60,175,513,53,5,3,1,163,37,587,39,0,383,80,94,156,242,36
layer_7,224,3,24,111,3,401,161,227,102,1,22,379,46,85,51,317,48,3,0,9,30,262,51,68
layer_8,25,309,22,16,312,27,35,22,105,126,136,1,30,45,1,76,1,82,302,5,15,8,348,3
layer_9,3,9,12,30,12,6,0,46,19,24,47,0,36,71,9,94,369,109,13,0,177,51,20,75
layer_10,8,170,48,15,2,9,15,85,20,52,207,5,3,142,0,5,7,10,30,17,26,8,42,142
layer_11,5,12,1,63,37,10,14,0,19,19,0,26,0,0,1,12,4,2,0,6,0,0,2,0
layer_12,731,735,517,658,716,733,592,315,710,649,141,707,595,767,705,661,595,739,717,72,669,596,697,739
layer_13,669,764,711,717,941,739,841,771,764,746,735,1235,1189,769,1141,903,687,1059,789,704,744,704,713,985
layer_14,48,1,2,42,28,0,109,1,0,30,9,5,83,558,2,3,12,17,12,36,92,46,91,58
layer_15,1,20,29,671,5,98,43,350,156,98,50,290,0,60,12,114,187,8,9,6,26,48,0,55
layer_16,0,18,8,243,67,277,20,8,60,58,0,18,0,1,61,4,46,0,86,119,615,67,85,42
layer_17,2,353,154,10,133,215,76,73,47,6,22,67,15,14,12,5,567,56,83,6,0,26,269,111
layer_18,291,168,25,185,1,1,48,62,575,36,3,10,3,35,25,400,12,1,236,18,82,118,40,30
layer_19,173,2,13,86,1,211,87,84,29,2,9,291,37,37,39,80,5,3,3,12,6,81,25,24
layer_20,24,73,5,104,143,5,66,8,12,14,58,5,12,2,5,37,2,36,51,5,2,16,57,2
layer_21,0,8,7,9,22,31,7,31,1,32,29,25,16,33,8,39,38,7,33,1,33,10,1,19
layer_22,166,399,346,211,312,189,339,326,264,128,124,169,172,317,213,169,255,352,221,314,181,24,289,336
layer_23,366,228,271,364,224,40,138,103,64,254,50,65,254,114,89,281,148,94,57,136,160,162,99,104
