,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_0,25,33,33,39,35,27,21,30,31,32,39,40,33,35,34,24,21,39,15,32,42,32,19,37,22,28,32,48,29,21,39,34,31,36,34,45,39,36,45,50,36,37,44,23,32,39,27,19,48,35,24,34,36,44,44,32,41,32,29,22,39,38,41,40,18,33,29,33,35,33,35
layer_1,28,32,26,21,35,29,26,36,24,31,25,32,24,30,34,32,30,24,29,25,23,27,31,24,28,26,24,31,39,30,34,26,29,27,36,27,26,36,29,36,35,29,26,28,26,26,17,24,28,29,29,25,23,26,20,30,25,27,34,27,26,35,28,30,28,29,35,22,34,33,26
layer_2,24,29,20,15,21,44,11,15,15,11,27,18,23,19,15,14,35,14,14,21,19,27,15,25,23,12,15,19,13,8,11,24,14,15,25,24,15,13,22,16,36,13,10,9,16,19,19,15,13,10,10,32,31,11,12,16,14,21,16,15,19,36,10,21,18,9,13,7,16,28,17
layer_3,8,11,7,16,14,36,10,10,6,23,12,12,19,16,13,16,7,7,9,36,9,15,10,12,10,15,24,22,14,19,17,11,7,24,21,11,21,10,36,11,14,8,10,12,8,8,6,7,15,18,12,22,9,63,9,8,24,19,11,15,26,10,9,9,7,11,19,8,17,43,8
layer_4,10,9,10,22,14,10,10,17,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,10,10,21,10,10,10,10,10,11,10,10,10,10,9,10,10,10,16,11,10,10,10,10,10,10,10,17,10,10,10,10,10,11,10,10,10,12,10,10,9,10,10,10
layer_5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,17,10,11,10,10,10,11,10,10,12,10,10,10,10,10,10,10,10,10,10
layer_6,10,10,10,11,10,10,11,9,28,10,12,10,10,10,10,10,10,10,12,11,10,10,10,10,15,10,9,10,10,10,10,10,10,10,10,11,15,10,10,10,13,10,10,10,10,21,10,10,23,11,24,10,11,10,15,11,11,10,10,27,10,11,10,10,10,10,10,10,10,10,11
layer_7,10,10,13,10,10,10,10,10,10,10,10,11,10,12,17,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,11,10,14,24,15,10,10,10,15,10,10,10,11,10,11,10,10,12,10,10,27,16,10,10,10,10,10,10
layer_8,10,12,11,10,13,10,9,11,10,10,10,10,10,10,11,10,10,26,10,10,10,10,10,10,10,10,10,19,16,9,11,12,24,11,10,10,18,10,10,16,10,10,10,11,10,10,10,12,17,11,11,10,10,12,10,13,10,10,14,11,10,10,10,10,10,10,14,11,10,11,10
layer_9,16,10,10,10,10,11,10,10,10,10,10,10,10,10,10,10,11,10,10,10,10,10,10,12,10,10,24,9,10,10,11,10,10,10,10,10,10,10,10,10,11,10,10,10,10,9,10,10,10,10,11,10,10,10,21,10,10,10,10,10,10,13,10,10,9,10,10,10,10,10,18
