,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.16581197,0.035042737,0.08888889,0.10854701,0.11111111,0.07692308,0.046153847,0.16239317,0.11282051,0.034188036,0.03076923,0.08888889,0.0,0.042735044,0.041880343,0.06923077,0.11111111,0.044444446,0.08547009,0.023931624,0.032478634,0.22905983,0.03675214,0.04017094
1,0.06495727,0.0034188034,0.011111111,0.0034188034,0.010256411,0.0034188034,0.0034188034,0.0076923077,0.011111111,0.011965812,0.00085470086,0.013675214,0.011965812,0.0,0.16324787,0.020512821,0.0025641026,0.0017094017,0.056410257,0.01880342,0.0076923077,0.05897436,0.00085470086,0.0
2,0.023931624,0.0017094017,0.020512821,0.006837607,0.0017094017,0.0,0.0,0.0,0.021367522,0.012820513,0.0025641026,0.0,0.0,0.02905983,0.0,0.005982906,0.0,0.0,0.023076924,0.026495727,0.0034188034,0.0,0.00085470086,0.006837607
3,0.015384615,0.0034188034,0.014529915,0.011111111,0.03931624,0.022222223,0.0,0.03846154,0.042735044,0.052136753,0.0025641026,0.028205128,0.031623933,0.09145299,0.016239317,0.03760684,0.052991454,0.013675214,0.0,0.054700855,0.0,0.0,0.00085470086,0.0017094017
4,0.06666667,0.0,0.0,0.027350428,0.00085470086,0.04957265,0.05042735,0.0,0.0,0.0,0.0,0.03675214,0.04957265,0.06324787,0.0,0.0,0.05811966,0.0,0.0025641026,0.00085470086,0.0,0.00085470086,0.056410257,0.12222222
5,0.04871795,0.07863248,0.035042737,0.00085470086,0.02905983,0.035897437,0.03931624,0.006837607,0.07692308,0.0034188034,0.04957265,0.015384615,0.045299146,0.012820513,0.062393162,0.05897436,0.09059829,0.00940171,0.0025641026,0.045299146,0.011965812,0.07008547,0.033333335,0.022222223
6,0.035042737,0.011111111,0.054700855,0.056410257,0.055555556,0.00085470086,0.04871795,0.052136753,0.01880342,0.008547009,0.041025642,0.0025641026,0.0042735045,0.046153847,0.0,0.083760686,0.02905983,0.0017094017,0.07435898,0.0,0.00085470086,0.0025641026,0.04957265,0.0034188034
7,0.042735044,0.062393162,0.022222223,0.0042735045,0.053846154,0.051282052,0.03846154,0.041025642,0.06068376,0.08632479,0.03846154,0.04871795,0.023931624,0.028205128,0.01965812,0.06752137,0.06153846,0.028205128,0.047008548,0.011111111,0.032478634,0.023931624,0.00085470086,0.005982906
8,0.027350428,0.070940174,0.00085470086,0.08034188,0.062393162,0.0051282053,0.022222223,0.056410257,0.01880342,0.0051282053,0.025641026,0.06324787,0.035042737,0.07435898,0.057264958,0.04871795,0.00085470086,0.014529915,0.083760686,0.017948719,0.0034188034,0.0076923077,0.01965812,0.028205128
9,0.0,0.00085470086,0.0,0.062393162,0.07948718,0.0034188034,0.0034188034,0.010256411,0.0,0.0,0.07435898,0.0974359,0.0017094017,0.047008548,0.025641026,0.0,0.0034188034,0.12136752,0.0,0.12564103,0.0,0.015384615,0.034188036,0.0042735045
