,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,37,0,125,0,48,94,32,0,2,2,38,0
layer_1,12,36,0,0,2,57,1,19,38,9,36,0
layer_2,0,0,0,0,61,0,0,0,0,0,0,0
layer_3,0,1,1,6,23,41,2,3,99,0,0,0
layer_4,1,35,61,64,54,146,9,47,21,5,70,43
layer_5,25,0,2,0,0,45,1,0,35,28,3,126
layer_6,72,2,156,19,7,188,52,0,2,13,0,3
layer_7,81,0,1,79,183,4,1,12,1,0,0,0
layer_8,134,1,83,4,52,500,0,18,31,5,26,113
layer_9,0,30,22,0,0,74,0,61,74,9,231,21
layer_10,2,43,70,13,195,0,30,6,0,13,3,129
layer_11,122,12,2,72,0,168,502,274,103,229,284,6
